Root_ID,Sub_ID,Content,Type,Node,Mode,Command,Rule
3,4,检查CUDB所有GEP板卡硬盘状况,Check,CUDB,OAM,N/A,
3,5,重启CUDB单个LDAPFE,Fix,CUDB,OAM,etc/init.d/LdapFrontEnd restart,
3,6,重启CUDB所有LDAPFE,Fix,CUDB,OAM,cudbLdapFeRestart,
3,7,CUDB DSG 主备倒换,Fix,CUDB,OAM,cudbDsgMastershipchange,
3,8,闭塞CUDB故障的GEP板卡,Fix,CUDB,OAM,"set ManagedElement 1 Equipment 1 Shelf <shelf_id> Slot <slot_id> Blade 1 administrativeState locked
set ManagedElement 1 Equipment 1 Shelf <shelf_id> Slot <slot_id> Blade 1 administrativeState unlocked",
3,9,登录PG GUI，隔离受影响的CUDB,Fix,PG,GUI,N/A,
3,10,在CUDB侧，隔离受影响的CUDB,Fix,CUDB,NWI,N/A,
4,1,测试HLRFE MML可用性/稳定性,Check,HLR-FE,TSS,mml,
4,2,重启APG MML资源,Fix,HLR-FE,TSS,N/A,
4,3,检查PG账号,Check,HLR-FE,TSS,localuserlist -d PGUser,
4,4,执行APG倒边,Fix,HLR-FE,APS/TSS,prcboot,
4,5,登录PG GUI，隔离受影响的HLRFE,Fix,PG,GUI,N/A,
5,1,检查PG KPI，确认失败SOAP请求的错误码,Check,PG,OAM,/home/tools/kpi_tool/show_kpi.sh -b <begin_time : yyyyMMdd-hhmm> -e <end_time : yyyyMMdd-hhmm> -t err,
5,2,根据错误码，追踪proclog确认发生数据损坏的用户ID,Check,PG,OAM,/home/tools/find_proclog/find_proclog.sh -f <from_time : yyyyMMdd-hhmm> -t <to_time : yyyyMMdd-hhmm> -c <error_code>,
5,3,根据错误码，追踪proclog确认出现冲突的参数值,Check,PG,OAM,/home/tools/find_proclog/find_proclog.sh -f <from_time : yyyyMMdd-hhmm> -t <to_time : yyyyMMdd-hhmm> -c <error_code>,
5,4,根据用户ID，清理损坏的用户数据，并由BOSS补回数据,Fix,CUDB,OAM,N/A,
5,5,根据局数据标准修改网元的参数或者建议Boss使用合适的参数,Fix,N/A,N/A,N/A,
6,1,登录PG GUI，隔离受影响的HSSFE,Fix,PG,GUI,N/A,
7,1,登录PG GUI，解锁账号,Fix,PG,GUI,N/A,
8,1,联系业务确认是否存在异常业务发放,Check,N/A,N/A,N/A,
